Latitude,Longitude
41.71134,-72.86107
41.71143,-72.86109
41.71313,-72.86157
41.71371,-72.86174
41.71393,-72.8618
41.71418,-72.86187
41.71443,-72.86193
41.71469,-72.86199000000001
41.71502,-72.86207
41.71531,-72.86212999999999
41.71552,-72.86218
41.71573,-72.86224
41.7161,-72.86236
41.71651,-72.8625
41.71669000000001,-72.86255
41.71685,-72.8626
41.71696,-72.86263
41.71713,-72.86266999999999
41.7173,-72.8627
41.71745,-72.86271000000001
41.71754,-72.86272
41.7177,-72.86272
41.71803,-72.86273
41.71875,-72.86274
41.7199,-72.86277
41.7209,-72.86278
41.7209,-72.86259
41.72091,-72.86228
41.72092,-72.86201
41.72093,-72.86179
41.72095,-72.86166
41.72096,-72.86154000000001
41.72099,-72.86139
41.72102000000001,-72.86127999999999
41.72104,-72.86118999999999
41.72107,-72.86112
41.72109,-72.86105000000001
41.72112,-72.861
41.72116,-72.86091
41.7212,-72.86083000000001
41.72129,-72.86069999999999
41.72134,-72.86062
41.72141,-72.86054000000002
41.72156,-72.86035
41.72176,-72.86012
41.72211,-72.8597
41.72216,-72.85964
41.72222,-72.85956
41.72231,-72.85942
41.72239,-72.85926000000001
41.72246,-72.8591
41.72251,-72.85897
41.72254,-72.85888
41.72257,-72.85876
41.7226,-72.85861
41.72261,-72.85850000000001
41.72261,-72.85842
41.72262,-72.85823000000001
41.72261,-72.85802
41.72259,-72.85767
41.72256,-72.85728
41.72254,-72.85696
41.72252,-72.85653000000001
41.72249,-72.85604000000001
41.72245,-72.85544
41.72243,-72.85505000000001
41.7224,-72.85451000000001
41.72237,-72.85399
41.72234,-72.85347
41.72231,-72.85301
41.72228000000001,-72.85266
41.72222,-72.85209
41.72191,-72.85154
41.72143,-72.85066999999999
41.72132,-72.85048999999999
41.72112,-72.85014
41.72094,-72.84981999999999
41.72056,-72.84914000000001
41.72042,-72.8489
41.72029,-72.84866
41.72016,-72.84842999999999
41.72007000000001,-72.84828
41.71983,-72.84786
41.71952,-72.84730999999999
41.71938,-72.84704000000001
41.71931,-72.84690999999999
41.71924,-72.84677000000001
41.71918,-72.84665
41.71912,-72.84650000000002
41.71906,-72.84635
41.719,-72.84618
41.71893,-72.84599
41.71886,-72.84578000000001
41.7188,-72.84560000000001
41.71874,-72.84542999999999
41.71868,-72.84526
41.71859,-72.84501
41.71844,-72.84457
41.71822,-72.84396
41.71804,-72.84345
41.71794,-72.84318
41.71785,-72.84293
41.71776,-72.84268
41.71767,-72.84244
41.71761,-72.84226000000001
41.71751,-72.842
41.71741,-72.84178
41.71733,-72.84162000000001
41.71726,-72.84148999999999
41.71717,-72.84136
41.717,-72.8411
41.71691,-72.84092
41.71686,-72.84083
41.71682,-72.84074
41.71674,-72.84057
41.71668,-72.84042
41.71664,-72.84029
41.71659,-72.84014999999999
41.71657,-72.84004
41.71654,-72.83996000000001
41.71648,-72.83964
41.71642,-72.83929999999999
41.71635,-72.83888
41.71632,-72.83871000000001
41.7163,-72.83859
41.71625,-72.8383
41.71621,-72.83810000000001
41.71618,-72.83790999999999
41.71615,-72.83767
41.71608,-72.83735
41.71602,-72.83712
41.71595,-72.83684
41.71589,-72.83664
41.71582,-72.83642999999999
41.71578000000001,-72.83633
41.71575,-72.83622
41.71559,-72.83638000000001
41.71524,-72.83672
41.71513000000001,-72.83681
41.71506,-72.83686
41.71501,-72.8369
41.71493,-72.83696000000001
41.71489,-72.83698
41.71485,-72.837
41.71478,-72.83704
41.71467,-72.83708
41.71459,-72.83711
41.71447,-72.83715000000001
41.7143,-72.8372
41.71413,-72.83725
41.71376,-72.83738
41.71351,-72.83745
41.71331,-72.83751
41.7132,-72.83756
41.71312,-72.83759000000001
41.71301,-72.83765
41.71289,-72.83774
41.71275,-72.83786000000001
41.71264,-72.83798
41.71246,-72.83817999999999
41.71222,-72.83846
41.71203,-72.83869
41.71186,-72.83888
41.71173,-72.83901
41.7116,-72.83914
41.71139,-72.83932
41.71098,-72.83967
41.71082,-72.83981
41.71061,-72.84003
41.71037,-72.84032999999999
41.71016,-72.84058
41.71001,-72.84074
41.70984,-72.84089
41.7097,-72.84099000000001
41.70957,-72.84107
41.70937000000001,-72.8412
41.709,-72.84139999999999
41.70871,-72.84154
41.70812,-72.84180000000001
41.7072,-72.84216000000001
41.70625,-72.84252000000001
41.70593,-72.84264
41.70519,-72.84292000000001
41.70506,-72.84298
41.70489,-72.84304
41.70457,-72.84314999999999
41.70436,-72.84321000000001
41.70388,-72.84335
41.70406,-72.84394
41.70425,-72.84456
41.70433,-72.84483
41.7046,-72.84576
41.70468,-72.84602
41.70469000000001,-72.84607000000001
41.70488,-72.84671
41.70498,-72.84703
41.70517,-72.84753000000001
41.7051,-72.84765
41.70505,-72.84775000000001
41.70502,-72.84782
41.70498,-72.84789000000001
41.70493,-72.84802999999999
41.70484,-72.84824
41.70479,-72.84839
41.70475,-72.84851999999999
41.70469000000001,-72.84869000000001
41.70467,-72.84876
41.70466,-72.84878999999999
41.70463,-72.8489
41.7046,-72.84902000000001
41.70457,-72.84913
41.70451,-72.84945
41.7044,-72.84998
41.70431,-72.85042
41.70413,-72.85141
41.70406,-72.85177
41.70404000000001,-72.85187000000002
41.70402,-72.852
41.704,-72.85217
41.70398,-72.85226
41.70397,-72.85236
41.70395,-72.85256
41.70388,-72.85324
41.70386,-72.85375999999999
41.70385,-72.8539
41.70384,-72.8541
41.70383,-72.85445
41.70383,-72.85460999999999
41.70383,-72.85478000000001
41.70383,-72.85498
41.70385,-72.8552
41.70388,-72.85563000000001
41.704,-72.85706999999999
41.70411,-72.85849
41.70413,-72.85871
41.70419,-72.85927
41.70424,-72.85969
41.70427,-72.86001
41.7043,-72.86042000000001
41.70463,-72.86035
41.70487,-72.86031
41.70493,-72.8603
41.70523,-72.86026
41.70545,-72.86023
41.70573,-72.86019000000002
41.70595,-72.86015999999999
41.70615,-72.86013
41.7063,-72.86012
41.70643,-72.86012
41.7067,-72.86012
41.70691,-72.86013
41.70732,-72.86015
41.70754,-72.86015999999999
41.70778,-72.86017
41.70791,-72.86018
41.70801,-72.86019000000002
41.70813,-72.86021
41.7083,-72.86023
41.70846,-72.86026
41.70869,-72.86032
41.70885000000001,-72.86036
41.70902000000001,-72.86041
41.70959,-72.86057
41.70966,-72.86058
41.71002,-72.86069000000001
41.7105,-72.86082
41.71106,-72.86098
41.71132,-72.86106
