Latitude,Longitude
33.19446,-117.38426
33.19684,-117.38627
33.19688,-117.3863
33.19694,-117.38629
33.19799,-117.38455
33.19831,-117.38407
33.19849,-117.38401
33.19933,-117.3847
33.20002,-117.3853
33.20005,-117.3855
33.19993,-117.3857
33.19991,-117.38574
33.19996,-117.38585
33.20091,-117.38672
33.20104,-117.38686
33.2012,-117.387
33.20139,-117.38713
33.20166,-117.38733
33.20181,-117.38741
33.20235,-117.38761
33.20254,-117.38767
33.20276,-117.38766
33.20315,-117.38754
33.20338,-117.38738
33.20428,-117.38658
33.20458,-117.38622
33.20498,-117.38556
33.20512,-117.38539
33.20555,-117.38511
33.20564,-117.38508
33.20582,-117.38509
33.20591,-117.38504
33.20633,-117.38394
33.20638,-117.38369
33.20631,-117.38315
33.20634,-117.38298
33.20639,-117.38288
33.2065,-117.38278
33.20663,-117.38272
33.20722,-117.3823
33.20755,-117.38203
33.20795,-117.38165
33.20832,-117.38121
33.20905,-117.38017
33.20919,-117.38001
33.20964,-117.37954
33.20977,-117.37937
33.21003,-117.37898
33.21025,-117.37868
33.21033,-117.37852
33.21043,-117.37831
33.21064,-117.378
33.2111,-117.3774
33.2116,-117.37676
33.21187,-117.37636
33.2123,-117.37556
33.21244,-117.37527
33.21273,-117.3744
33.21282,-117.37402
33.21291,-117.37355
33.21294,-117.37328
33.21297,-117.37226
33.21295,-117.37088
33.21291,-117.37013
33.21281,-117.36821
33.21282,-117.36791
33.21287,-117.36758
33.21296,-117.36744
33.21327,-117.36737
33.21351,-117.36726
33.21368,-117.3671
33.21382,-117.36691
33.21392,-117.36664
33.21396,-117.36639
33.21401,-117.3654
33.21405,-117.36489
33.21413,-117.36432
33.21424,-117.36375
33.21451,-117.36269
33.21465,-117.36224
33.2149,-117.36167
33.21515,-117.36123
33.21589,-117.3602
33.21619,-117.35986
33.21648,-117.35959
33.21673,-117.35942
33.21697,-117.35929
33.21725,-117.35918
33.21751,-117.35909
33.21777,-117.35896
33.21792,-117.35882
33.21873,-117.35817
33.21932,-117.35784
33.21948,-117.3577
33.21965,-117.35743
33.2198,-117.35715
33.21999,-117.35684
33.22023,-117.35634
33.2204,-117.35585
33.22051,-117.35537
33.22056,-117.35496
33.2207,-117.3533
33.22069,-117.35292
33.22063,-117.35257
33.22038,-117.35125
33.22033,-117.35085
33.22031,-117.35032
33.22031,-117.34982
33.22035,-117.34925
33.22043,-117.34872
33.22055,-117.34819
33.22072,-117.34766
33.22112,-117.34654
33.2213,-117.34611
33.22158,-117.34557
33.22185,-117.34516
33.22201,-117.34495
33.22228,-117.34464
33.22238,-117.34454
33.22249,-117.34453
33.22275,-117.34458
33.22281,-117.34455
33.22296,-117.34436
33.223,-117.34426
33.22297,-117.34403
33.22306,-117.34383
33.22335,-117.34358
33.22376,-117.34333
33.22421,-117.34315
33.22459,-117.34304
33.22495,-117.34299
33.22531,-117.34299
33.22659,-117.34312
33.22696,-117.34314
33.22795,-117.34312
33.22844,-117.34307
33.2295,-117.34277
33.23007,-117.34252
33.23068,-117.3422
33.23215,-117.34122
33.2331,-117.34077
33.234,-117.3405
33.23664,-117.33995
33.23693,-117.33983
33.23759,-117.33952
