Latitude,Longitude
27.45088,-81.35954000000001
27.45075,-81.3556
27.4507,-81.35527
27.45071,-81.35265
27.45078,-81.35259000000001
27.45083,-81.35267
27.45078,-81.35545999999999
27.45099,-81.36042999999999
27.45096,-81.36069999999999
27.45081,-81.36088
27.44676,-81.36421
27.44574,-81.36491
27.4449,-81.36528
27.44393000000001,-81.36557999999999
27.4427,-81.36574
27.43693,-81.36557999999999
27.43617,-81.36581
27.43521,-81.36642000000001
27.43454,-81.36656000000001
27.43446,-81.36665000000001
27.43447,-81.36843
27.43443,-81.36906999999999
27.43435,-81.36948
27.4299,-81.39124
27.42699000000001,-81.4038
27.42656,-81.40624
27.42654,-81.40707
27.42662,-81.40759
27.42802,-81.41185
27.4283,-81.41222999999999
27.42889,-81.41262
27.43046,-81.41255
27.4309,-81.41231999999999
27.43131,-81.41201
27.43179,-81.41183
27.4324,-81.41183
27.43265,-81.4119
27.43332,-81.41225
27.43395,-81.41238
27.43427,-81.41236000000001
27.43485,-81.4122
27.43531,-81.4119
27.43696,-81.41042
27.43729,-81.40995
27.43748,-81.40945000000001
27.43759,-81.40886999999999
27.43742,-81.40662
27.43741,-81.40634
27.43746,-81.40608
27.4377,-81.40564000000001
27.43791,-81.40546000000002
27.43818,-81.40532
27.43882,-81.40528000000001
27.44583,-81.40524000000001
27.44675,-81.40504
27.4473,-81.40483
27.44778000000001,-81.40455
27.45188,-81.40143999999999
27.4524,-81.40121000000002
27.45274,-81.40116999999999
27.46537,-81.40111
27.47096,-81.40096
27.47119,-81.40089
27.47126,-81.40082
27.47126,-81.40066
27.4712,-81.40058999999999
27.44896,-81.37173
27.44834,-81.37080000000002
27.44792,-81.36964
27.44766,-81.36857999999999
27.44752,-81.36772000000001
27.4475,-81.3668
27.44754,-81.36626
27.44772,-81.36524
27.44808,-81.36415
27.448586,-81.363105
27.4484,-81.36288999999999
27.4484,-81.36271000000001
27.45079,-81.36078999999999
27.45087,-81.36064
27.4509,-81.36046
27.45088,-81.35956
