Latitude,Longitude
41.36393,-73.07229
41.36323,-73.07275
41.36264,-73.07302
41.36193,-73.07318000000001
41.36185,-73.0732
41.36168,-73.07319
41.36129,-73.07299
41.36117,-73.07286000000001
41.36107,-73.07274
41.36101,-73.07267
41.36095,-73.07257000000001
41.36085,-73.07244
41.36072,-73.07231
41.3606,-73.07222000000002
41.36051,-73.07216
41.36034,-73.07201000000001
41.36023,-73.07189
41.36017,-73.07178
41.36011,-73.07162000000001
41.36007,-73.07149
41.35967,-73.07114
41.35958,-73.07102
41.35957000000001,-73.07101000000002
41.35928,-73.07083
41.35881,-73.07073
41.35827,-73.07067000000001
41.35771,-73.07057
41.35691,-73.07073
41.3566,-73.07087
41.3564,-73.07095
41.35623,-73.07104
41.35587,-73.07119
41.35561,-73.0714
41.3555,-73.07147999999999
41.35503,-73.07178999999999
41.35488,-73.07187
41.35481,-73.07193
41.35472,-73.07202
41.35465,-73.07211
41.35461,-73.07218
41.35457,-73.07226
41.35453,-73.07237000000001
41.35448,-73.07253
41.35443,-73.07266
41.35437,-73.07283000000001
41.35431,-73.07296
41.35425,-73.07306
41.35413,-73.07328
41.35388,-73.07371999999999
41.35365,-73.07408
41.35347,-73.07434000000001
41.35326,-73.07455
41.3531,-73.07474000000001
41.35299,-73.07492000000001
41.35289,-73.07511
41.35265,-73.0757
41.35253,-73.07598
41.35248,-73.07628
41.35225000000001,-73.07651
41.35208,-73.07668
41.35247,-73.07773
41.35253,-73.07796999999999
41.35256,-73.07813
41.35279,-73.07872
41.35301,-73.07903
41.35314,-73.07916
41.35345,-73.07951
41.35365,-73.07977
41.35419,-73.08041
41.35431,-73.0806
41.35448,-73.08089000000001
41.35454,-73.08101000000001
41.35459,-73.08109
41.35466,-73.08123000000002
41.35476000000001,-73.08123999999999
41.35486,-73.08123999999999
41.35498,-73.08125
41.35511,-73.08126
41.35518,-73.08127
41.35526,-73.08127
41.35533,-73.08126
41.35543,-73.08126
41.35553,-73.08125
41.35566,-73.08123000000002
41.35575,-73.08122
41.35587,-73.08119000000001
41.35604,-73.08115000000001
41.35632,-73.08108
41.35656,-73.08102
41.35679,-73.08096000000001
41.35723000000001,-73.08086
41.35745,-73.0808
41.35758,-73.08078
41.35768,-73.08076
41.35775,-73.08076
41.35782,-73.08075
41.35788,-73.08075
41.35793,-73.08075
41.35798,-73.08076
41.35802,-73.08076
41.35805,-73.08077
41.35808,-73.08078
41.35811,-73.08078999999999
41.35865,-73.08042
41.35898,-73.08026
41.35921,-73.08017
41.35941,-73.08009
41.35956,-73.08005
41.35972,-73.08002999999999
41.36012,-73.08004
41.36043,-73.07997
41.36095,-73.07982
41.36243,-73.0792
41.36266,-73.07902
41.3628,-73.07890999999999
41.36326,-73.07867
41.36414,-73.07814999999999
41.36434,-73.07804
41.36447,-73.078
41.36468,-73.07793
41.36569,-73.07766
41.36662,-73.07754
41.36688,-73.07747000000001
41.36801,-73.07738999999999
41.3683,-73.07783000000001
41.36864,-73.07809
41.36879,-73.0782
41.36917,-73.07836
41.36923000000001,-73.07837000000002
41.36929,-73.07838
41.37074,-73.07871
41.37135,-73.07875
41.37152,-73.07872999999999
41.37177,-73.07869
41.37245,-73.07859000000001
41.37368,-73.0784
41.37393,-73.0784
41.37407,-73.0784
41.37416,-73.0784
41.37434,-73.0784
41.37442,-73.0784
41.37474,-73.07853
41.37487,-73.07854
41.37499,-73.07855000000001
41.37528,-73.07852
41.37663,-73.07805000000001
41.37696,-73.07809
41.37720000000001,-73.07811
41.37738,-73.07817
41.3777,-73.0779
41.37815,-73.07749
41.378,-73.07711999999999
41.37791,-73.07687
41.37785000000001,-73.07656
41.37784,-73.07629
41.37784,-73.07622000000001
41.37776,-73.07574
41.37768000000001,-73.07518
41.37771,-73.0749
41.37773,-73.07453
41.37776,-73.07422
41.37781,-73.07404
41.37785000000001,-73.07391
41.37802,-73.07344999999999
41.37824,-73.0729
41.37824,-73.0724
41.37823,-73.0723
41.37823,-73.07219000000001
41.37823,-73.07191
41.37821,-73.07154
41.37818,-73.07123
41.37813,-73.0706
41.37812,-73.06997000000001
41.37821,-73.06905999999999
41.37812,-73.06881
41.37804,-73.06863
41.37798,-73.06852000000001
41.37773,-73.06832
41.37753,-73.06817
41.37728,-73.06797
41.37713,-73.06787
41.37689,-73.06769
41.37597,-73.06723
41.37575,-73.06705
41.37559,-73.06689
41.37546,-73.06666
41.37529,-73.06636
41.37504,-73.06592000000001
41.37477,-73.06555000000002
41.37453,-73.06518
41.37428,-73.06474
41.37411,-73.06452
41.37431,-73.06431000000001
41.37449,-73.06416
41.37489,-73.06390000000002
41.37551,-73.06353
41.37597,-73.0632
41.37609,-73.06335
41.37615,-73.06341999999999
41.3762,-73.06346000000001
41.37621,-73.06348
41.37622,-73.06349
41.37624,-73.06350999999999
41.37627,-73.06353
